Altitude	Temperature	Pressure	HE[m-3]	H2[m-3]	Total_mass_density
2.856700e+02	1.916552e+02	1.938950e-03	1.181474e+17	7.556721e+17	4.417327e-03
2.866700e+02	1.920597e+02	1.829926e-03	1.113350e+17	7.122602e+17	4.168838e-03
2.876700e+02	1.924643e+02	1.720902e-03	1.045226e+17	6.688483e+17	3.920349e-03
2.886700e+02	1.928689e+02	1.611878e-03	9.771022e+16	6.254364e+17	3.671859e-03
2.896700e+02	1.932734e+02	1.502855e-03	9.089782e+16	5.820245e+17	3.423370e-03
2.906700e+02	1.936780e+02	1.393831e-03	8.408541e+16	5.386126e+17	3.174881e-03
2.916700e+02	1.940826e+02	1.284807e-03	7.727301e+16	4.952007e+17	2.926392e-03
2.926700e+02	1.944872e+02	1.175783e-03	7.046060e+16	4.517888e+17	2.677903e-03
2.936700e+02	1.948917e+02	1.066759e-03	6.364820e+16	4.083769e+17	2.429414e-03
2.946700e+02	1.952963e+02	9.577353e-04	5.683580e+16	3.649650e+17	2.180925e-03
2.956700e+02	1.957009e+02	8.487115e-04	5.002339e+16	3.215531e+17	1.932436e-03
2.966700e+02	1.961055e+02	7.396876e-04	4.321099e+16	2.781412e+17	1.683947e-03
2.976700e+02	1.965100e+02	6.306638e-04	3.639858e+16	2.347293e+17	1.435457e-03
2.986700e+02	1.969146e+02	5.216399e-04	2.958618e+16	1.913174e+17	1.186968e-03
2.996700e+02	1.973192e+02	4.126160e-04	2.277378e+16	1.479055e+17	9.384792e-04
3.006700e+02	1.977237e+02	3.035922e-04	1.596137e+16	1.044936e+17	6.899901e-04
3.016700e+02	1.981149e+02	2.019713e-04	9.614349e+15	6.404744e+16	4.583737e-04
3.026700e+02	1.983285e+02	1.987042e-04	9.450259e+15	6.300406e+16	4.509232e-04
3.036700e+02	1.985421e+02	1.954370e-04	9.286168e+15	6.196068e+16	4.434727e-04
3.046700e+02	1.987556e+02	1.921699e-04	9.122078e+15	6.091729e+16	4.360222e-04
3.056700e+02	1.989692e+02	1.889027e-04	8.957988e+15	5.987391e+16	4.285717e-04
3.066700e+02	1.991827e+02	1.856356e-04	8.793898e+15	5.883053e+16	4.211212e-04
3.076700e+02	1.993963e+02	1.823684e-04	8.629808e+15	5.778714e+16	4.136707e-04
3.086700e+02	1.996098e+02	1.791013e-04	8.465718e+15	5.674376e+16	4.062202e-04
